,index,id,title,comment,uid,timestamp,tourokubi,furigana,editingday,registration,system_title,system_group,netabare,number_of_user,before,before_trial
49,49,67,感動した（泣いてしまった）ゲーム,感動したゲーム・泣いてしまったゲームを登録してください,kazuya,2003-12-26 00:58:46.136059+09,2002-10-24 17:51:58.784992+09,カンドウシタナイテシマッタゲーム,1900-01-01 00:00:00+09,t,感動,傾向,f,9049,f,f
50,50,68,妊娠エロゲー,斎藤美奈子「妊娠小説」に触発されて作ってみました。 エロゲーがHするのを基本としている以上、その後の妊娠についても考えているゲームもあるのではないかと。 子作り万歳。,hare,2003-12-16 18:59:58.27283+09,2002-10-29 17:16:41.318499+09,ニンシンエロゲー,1900-01-01 00:00:00+09,t,妊娠,シチュエーション,f,2238,t,f
51,51,70,プログラム技術が高いゲーム,実際、技術力の高い低いなんて素人には判らないものだと思いますが、 率直に高いと感じたゲームをお願いします。 コンシューマーと比較するとどーにもなりませんけど(^^;,なっとう,2003-12-25 20:51:12.272057+09,2002-11-04 01:24:22.268817+09,プログラムギジュツガタカイゲーム,1900-01-01 00:00:00+09,t,プログラム技術,ここがいい,f,3366,f,t
52,52,72,主人公がダメ！,例えば、その性格がストーリーに必須でないにもかかわらず、妙に横柄だったり、逆に弱気すぎたりするもの。,TK,2003-12-26 01:21:59.701724+09,2002-11-04 10:53:39.793043+09,シュジンコウガダメ,1900-01-01 00:00:00+09,t,ダメ,主人公,f,6260,f,f
53,53,75,ゲテモノをつかったシチュエーション,野外での蟲をつかったプレイや、獣姦、触手ものといったゲテモノシチュエーションのゲームを集めています。,spherical,2003-12-24 07:57:49.133378+09,2002-11-26 14:43:45.586853+09,ゲテモノヲツカッタシチュエーション,1900-01-01 00:00:00+09,t,ゲテモノ(獣姦、触手等),エロシーン,f,1801,t,f
54,54,78,テキストGOOD,テキストが最高と思える作品。あくまでもテキストでシナリオではありません。卓越された文章力を持っている作品。そんな作品あげてみてください。,ryuuzi,2003-12-24 12:19:08.46714+09,2002-12-18 18:04:34.089699+09,テキストグッド,1900-01-01 00:00:00+09,t,テキストがいい,シナリオ,f,8352,f,t
55,55,80,Ｈシーンのある女の子がいっぱいいるよぉ,とにかくタイトルのごとく、攻略可否だのやシナリオだのこだわらずとにかくＨシーンが存在しているヒロイン数がいっぱいいる作品を登録してください。ＡＢＣ基準はとにかく登場する女の子の多さっぷりで印象に残る度合いでつけてきてください。,601212,2003-12-17 22:46:56.134609+09,2002-12-23 15:21:33.195311+09,エッチシーンノアルオンナノコガイッパイイルヨォ,1900-01-01 00:00:00+09,t,女の子いっぱい,傾向,f,2780,f,f
56,56,81,CGが美しいゲーム,ＣＧが美しいゲーム。背景のみ、キャラクターのみでも構いませんが、それぞれコメントで「背景」「キャラクター」など書いて頂けると参考になるかと思います。あとサイズが昔は640*480のゲームが多かったですが最近は800*600のものも増えてきました。CGのサイズも評価に入れて良いかと思います。ゲームはやっていなくても体験版などでCGが美しいと思った、と言う方も評価をお願いします。,kaziki,2003-12-25 21:57:53.1358+09,2002-12-23 20:23:11.47442+09,シージーガウツクシイゲーム,1900-01-01 00:00:00+09,t,CGが美しい,グラフィック,f,11747,t,f
57,57,83,着物・巫女・袴ゲー,着物や巫女衣装はたまた袴がメインな和服フェチなゲーム。 <<04.11.16 追加条件を削除しました>>,KTZ,2003-12-21 22:59:25.636802+09,2002-12-28 22:55:26.598873+09,キモノミコハカマゲー,2004-11-17 22:18:27.814722+09,t,着物・巫女・袴,女の子キャラクター,f,2555,t,f
58,58,84,男たちが集団で…(輪姦),ヒロインをまわしちゃうゲームです。 評価はエロ度とか、嫌がってる度合いとかで決めてください。,energy,2003-12-24 03:14:45.702811+09,2003-01-01 23:04:00.924123+09,オトコタチガシュウダンデリンカン,1900-01-01 00:00:00+09,t,輪姦,エロシーン,f,2942,t,f
59,59,86,ゲームバランスを評価するPOV,RPGちっくなゲームやパラメーターの上げ下げをするような類のゲームのゲームバランスを評価してみるPOVです。 ちなみに評価を「C」にした場合は「ラク過ぎて」なのか「難しすぎて」なのかも書いてあると皆もニッコリさんだと思いますｗ,sukesuke,2003-12-20 15:42:37.867171+09,2003-01-04 13:05:18.685916+09,ゲームバランスヲヒョウカスルピーオーブイ,1900-01-01 00:00:00+09,t,ゲームバランス,ゲーム性,f,1956,f,f
60,60,88,鬱ゲー,その名の通りゲームプレイ中､およびプレイ後に鬱ってしまうよーなゲームに対してつけてください。鬱るといっても単に悲しい気分になったり､物寂しい気分になったり、みたいなことでいいんであまり深刻に考えずにどうぞ☆Ａ，Ｂ，Ｃ判定は皆さんに任せます。,silent,2003-12-26 01:21:59.644318+09,2003-01-07 00:55:48.408951+09,ウツゲー,1900-01-01 00:00:00+09,t,鬱,傾向,f,4506,f,f
61,61,89,（熱く燃える）熱血系ゲーム,ほのぼの世界に萌えるのもいいけれど、ライバルとの熱い戦い、正義を貫く折れぬ心など とにかく世界観やシナリオやシーンなどで「熱い」血潮や気迫が感じられる作品の登録をおねがいします。 作品によってはアクションシーンで熱くなるものもあるかと思いますが、そちらは「戦闘描写（シーン）が印象的」に登録していただければ幸いです。 こちらはできればシナリオやシーン、キャラクターなどで「熱血」っぷりを感じさせる作品に重点を置いて登録願います。 ＡＢＣはその熱量でヨロシク！,neut,2003-12-23 17:46:33.258234+09,2003-01-10 18:05:55.008665+09,アツクモエルネッケツゲー,1900-01-01 00:00:00+09,t,熱血,傾向,f,4761,t,f
62,62,91,スカッとするゲーム(スカトロのあるゲーム),文字通り、スカトロ描写があるゲームです。,neige,2003-12-19 14:01:25.535437+09,2003-01-24 13:05:45.620068+09,スカットスルゲーム,1900-01-01 00:00:00+09,t,スカトロ,エロシーン,f,1186,t,f
63,63,96,アニメが良い！(エロ動画除く),Ｈシーン以外のアニメがよくできているゲームを登録してください。 エロゲにおいてフルアニメは稀で、ＯＰムービーやちょっとしたカットインでも貴重です。 ランク分けは絵の綺麗さ、動きの滑らかさ等でお願いします。 主に２Ｄアニメを対象にしています。 【注意】Ｈシーンを評価する場合は「エロ動画がいい！」に登録してください。 動画として総合的に素晴らしいなら「ムービーが良い！(エロ動画除く)」にも登録お願いします。,tomi,2003-12-19 04:29:53.541949+09,2003-02-14 17:54:55.401965+09,アニメガヨイ,1900-01-01 00:00:00+09,t,アニメがいい(非Ｈ),グラフィック,f,2108,t,f
64,64,97,締まりの悪いゲーム,物語の起承転結で『転』と『結』がダメなゲーム。 性急過ぎる・謎解きが途中まで・安直な展開と終わらせ方で、納得出来ない代物。 期待していた展開でなく、感動し損ねたゲーム。,kim,2003-12-26 01:21:59.682953+09,2003-02-17 02:04:40.327151+09,シマリノワルイゲーム,1900-01-01 00:00:00+09,t,『転』と『結』がダメ,ネガティブ,f,2451,f,f
65,65,98,オリジナリティが無い（または少ない）,シナリオや展開などにオリジナリティーが感じられなかったり、はっきり言ってパクリ、二番煎じだと思うゲーム。その際には元ネタもあわせてコメントしてくれると助かります。 ABC評価は他作品に総じて似ていると思ったらA、どことなく似ているならCという具合でお願いします。,Close-Combat,2003-12-13 00:42:07.335724+09,2003-02-18 23:59:34.986518+09,オリジナリティガナイ,1900-01-01 00:00:00+09,t,マンネリ,ネガティブ,f,1620,f,f
66,66,99,ディスクレス起動OK(ABCに御注意),ゲームを起動する際にディスクが要らないゲームの登録をお願いします。 　ＡＢＣ基準は、ディスクレス起動できても満足にプレイ出来なければ意味が有りませんので Ａ：無くても音楽、音声等機能に全く影響無くプレイできるもの Ｂ：無いと音楽、音声等一部機能に制限を受けるがそれでも許容できるもの(ＣＤ－ＤＡ等) Ｃ：無くても一応プレイできるが、機能制限や何らかの問題があって、その作品の魅力を著しく損なうもの という分類でお願いします。 　基本的にメーカー側の推奨環境を満たし、フルインストール、特殊な操作無しの方向で。 　もしパッチ等が必要でしたらコメントを頂けるとありがたいです。(ちなみに属性の「ディスクレス起動可」と併用しますと、より信頼できる情報になるかと思います),daitetu,2003-12-26 01:21:59.725775+09,2003-02-19 19:49:52.846892+09,ディスクレスキドウオーケー,2006-01-02 06:51:55.129183+09,t,ディスクレス可,システム,f,2221,f,f
67,67,100,タカビーお嬢ヒロインがいるゲーム,タカビーなお嬢、私個人的にツボです。燃えます。（萌えではありません。） 「生意気なお前を俺色に染めてやる！」という意気込みです。 攻略したときの征服感、達成感が快感。（攻略後は妙に素直になったりして、そこがまた可愛い・・・） そんなタカビーお嬢ヒロインがいるゲーム、教えてください。 ※タカビーでないお嬢様についてはお嬢様POVへどうぞ。,TK,2003-12-25 20:51:12.148057+09,2003-02-25 03:26:32.959019+09,タカビーオジョウサマガイルゲーム,1900-01-01 00:00:00+09,t,タカビーお嬢,女の子キャラクター,f,2094,t,f
68,68,103,濡れ場必要なし！,１８禁ゲームとくればエッチシーンはつき物だが、それを必要としないと思われるゲーム。むしろ、あると逆に不自然に感じられるゲーム。一般向けに開発してもよかったのではと思われるゲーム。,10das,2003-12-23 17:46:33.237258+09,2003-02-26 11:48:36.835691+09,ヌレバヒツヨウナシ,1900-01-01 00:00:00+09,t,Hシーン必要なし,ネガティブ,f,1803,f,f
69,69,105,18禁ならではの大人の物語,青春全開なストーリーも良いですが、登場人物の各々が一人の成熟した大人としての確固たる考えや行動が織り成していく人間模様の描写が深い物語をじっくり愉しむのもまた良いものでしょう。 ここではそういった大人の登場人物が多く登場する作品、あるいはそういった登場人物が見せる深い知識や見識がシナリオ全体に良い意味で深みを与えている作品があったら登録をお願いします。,spell,2003-12-23 17:46:33.207685+09,2003-02-27 20:01:39.797832+09,ジュウハチキンナラデハノオトナノモノガタリ,1900-01-01 00:00:00+09,t,大人,ジャンル,f,2475,f,f
70,70,106,中だるみする＆テンポが悪い,シナリオ作品の理想形は読み進む際の没入感とそれに伴うテンポの良さは欠かせないものですが、 残念ながら描写が単調、回りくどい、冗長的、あるいは展開のぶつ切れやパターンのくどさ、ゲームシステムやデザインの不備、などなどでそのテンポが損なわれており、結果作品としてマイナスに感じさせる作品も往々としてあると思います。 ここではそういったシナリオを読み進めていく点でどうしても乗り切れなった、中だるみしてむしろ苦痛だった作品をあげてください。 ＡＢＣ基準はこれらテンポの悪さが作品のマイナスイメージに大きくかかってきていると感じるネガティブベースの印象度でお願いします。,FLXR,2003-12-21 01:25:09.364648+09,2003-02-27 23:55:31.632815+09,ナカダルミスルテンポワルイ,1900-01-01 00:00:00+09,t,テンポ悪い,ネガティブ,f,2996,f,f
71,71,108,母乳が出るゲーム,ヒロインが胸から出すミルクを激しく吸いまくるようなシチュが見たい。乳が出る原因は妊娠でも薬でも魔法でもオケ。BISHOPの擬似母乳は画面を派手にするための演出で、乳汁として扱われてないのでＮＧ。女子高生や成人女性でもいいが、女子小学生が母乳を出すとか妊娠するようなパタンならウルトラオッケー。胸が胴体より巨大化して機械で搾乳するようなのは人間だか化けモノだかわからないのでＮＧ。健康な女の子から出るおいしそうなミルクを飲みたいデス。,inoue,2003-12-09 12:01:22.279651+09,2003-03-05 12:45:23.898606+09,ボニュウガデルゲーム,1900-01-01 00:00:00+09,t,母乳,エロシーン,f,1526,t,f
72,72,109,狂気をテーマにしているゲーム,登場人物の言動や物語の世界が狂っている、または精神的に破滅していると思われるもの、狂気をテーマにしているものなどを挙げてください。作者側が意図して狂った様子を表現しようとしているものに限ります。,kaziki,2003-12-20 01:38:50.326409+09,2003-03-07 06:22:26.96377+09,クルッタゲーム,1900-01-01 00:00:00+09,t,狂気・猟奇,ジャンル,f,3767,t,f
73,73,110,シナリオ全般とエロのバランスが良い,エロゲーの基本かつ重要なポイントは、やはりシナリオとエロに尽きると思います。 　本POVではそんな考えの元、「どちらかに的を絞るのも良いけど、両立させてこそ一本の｢エロゲー｣として成立するのでは…」というような思いを満たす為の、シナリオもエロも楽しめる欲張りゲームの登録をお願いします。 　登録作品の例、目安としましては ・複数回Ｈ、濃厚Ｈがある純愛作品 ・エロ重視ではあるが、意外と読ませる ・シナリオに対しエロ(性的描写)が不自然無く調和している ・純愛、陵辱両ルートがある作品 という感じです。,daitetu,2003-12-25 20:51:12.085699+09,2003-03-10 02:58:33.68317+09,シナリオゼンパントエロノバランスガヨイ,2006-01-02 06:47:30.045913+09,t,シナリオとエロのバランス,ここがいい,f,5370,f,f
74,74,112,キャラの立ち絵造形が良い,せっかくギャルゲーやるのなら女の子たちと目で会話したいなあと。 きれいな女の子が出てきても立て看にしか見えないのでは張り合いがないので、相手が血の通った人間に見えるかどうか教えてほしいです。 このＰＯＶでは一枚絵以外のキャラ絵（以下立ち絵）を主たる評価の対象とします。 造形の良さやオリジナリティ高い作品を評価してください 立ち絵のヴァリエーションの多寡、クオリティー、テキストとの整合性など気がついたことについて書いてもらえればと思います。,d_bellypha,2003-12-25 21:57:53.242123+09,2003-03-17 17:10:18.95181+09,キャラノタチエゾウケイガヨイ,1900-01-01 00:00:00+09,t,立ち絵がいい,グラフィック,f,6621,f,f
75,75,113,攻略難度高い作品,選択肢やフラグの条件がシビア、クリアの為の謎賭けや条件がシビア過ぎて骨が折れる・手こずるなど、正直攻略ページのお世話なしじゃないとクリアが厳しい作品など、素でプレイするにはコンプリートはもとよりクリアするのもたいへんな作品を登録してください。,10das,2003-12-26 04:00:23.921918+09,2003-03-18 15:56:22.936268+09,コウリャクナンドタカイサクヒン,1900-01-01 00:00:00+09,t,難しい,ネガティブ,f,2535,f,f
76,76,114,高スペック必要,"動作にはある程度のスペックを要求するゲーム。ちょっと前のパソコンじゃ話にならない。インストール容量が膨大だったり、高いCPU,メモリ能力を必要としたり。",10das,2003-12-24 08:01:01.54026+09,2003-03-18 16:32:31.472427+09,コウスペックヒツヨウ,1900-01-01 00:00:00+09,t,高スペック要,システム,f,1738,f,t
77,77,116,バカゲー,シナリオやキャラ、設定、そしてノリがあまりにもバカでツッコミどころが多く、思わず（いろいろな意味で）笑ってしまうようなゲーム,ujo,2003-12-21 03:22:26.140064+09,2003-03-27 02:53:44.357278+09,バカゲー,1900-01-01 00:00:00+09,t,バカゲー,傾向,f,3113,t,f
78,78,117,真の漢は背中で語る、ダンディズム,軟弱な主人公が跳梁跋扈しているこの時代に、真の漢たる気質がビリビリと伝わってきたキャラが出演しているゲームの登録をお願いします。主人公、サブキャラ、チョイ役まで全てのキャラが対象です。頭脳明晰のクールメンや、むさ苦しいほどの熱血野郎、そして大人の魅力を持つ素敵な小父様などなど、真の漢たちを教えてください。,Skip,2003-12-20 15:42:37.82357+09,2003-03-30 14:20:02.998945+09,シンノオトコハセナカデカタルダンディズム,1900-01-01 00:00:00+09,t,漢,キャラクター,f,3319,t,f
79,79,120,家族っていいなぁ,様々な作品の中で「家族」をテーマにした作品や、舞台設定としての「家族」の円満ぶりや「絆」の強さなどがシナリオをひきたてている良い作品がたくさん登場しています。 ここではそういった「家族の絆」が印象的な作品を集めてみたいと思います。 実・義理・込み入った事情の同居や居候などパターンは多いですが、「家族」の印象が強い作品であればその形態にはこだわらずにいきたいと思います。,gaogaogao改め烏賊悪魔,2003-12-25 21:57:53.074287+09,2003-04-11 13:43:01.861525+09,カゾクッテイイナァ,1900-01-01 00:00:00+09,t,家族,傾向,f,3867,t,f
80,80,121,女の子同士,男なんて必要ありません。要はレズプレイがあればなんでもアリです。そんな作品を求めます。評価の基準ですが、AとBは皆さんの自由に評価してください。ですが、 女の子同士でも、あまり絡んでいないものはCにしてください。,akk,2003-12-22 01:22:23.501494+09,2003-04-14 16:43:22.572049+09,オンナノコドウシ,1900-01-01 00:00:00+09,t,レズ,エロシーン,f,2710,t,f
81,81,122,調教の『虜』,調教描写があるゲーム、主に調教ゲーを登録してください。 本POVは、服従させるために、殴る、犯す、縛る、吊るす、打つ、刺す、剃る、浣腸など物理的な行為だけではなく、SSDのような心理水準のやり取りも調教と見なします。SSDは、ある意味で究極の調教ゲーだし。 調教はそのプロセスこそ命。 目的を達成するまでの過程が丹念に描かれていなければならない。レイプしてちょこちょこっと嬲ったら服従するようなゲームはちょっと勘弁。薬漬けでは張り合いがないのでつまらない。やはり獲物の反抗的な態度や泣いて嫌がる姿を見たい。簡単に屈伏してはつまらない。 その道のりが険しければ険しいほど辿り着いた時の達成感・満足感は何ものにも変え難い。堪らんよ、ほんと。 あと調教という現実で殆んど有りえない非日常の事柄だからこそ、リアリティの有無は重要なポイントの一つだと思う。有ると無しでは調教行為の面白さに差が出る。むろん有る方が断然楽しいし、やりがいがある。 余り数はありませんが、始めから相手が調教に肯定的な場合は、シチュ的にそそるかどうかを評価の基準にしてください。 ……えーと、「調教するより、調教されたい」という方向も一応ありです。はい。,Skip,2003-12-24 04:00:51.113125+09,2003-04-16 20:49:58.95905+09,チョウキョウノトリコ,1900-01-01 00:00:00+09,t,調教,ジャンル,f,1037,t,f
82,82,124,女の子に襲われちゃう,キレイなお姉さんの童貞狩り、女王様からの調教、年下に強制射精させられちゃうなど、女性主導のＨが楽しめる作品の登録をお願いします。,roo,2003-12-21 15:20:15.238299+09,2003-05-04 13:31:21.776183+09,オンナノコニオソワレチャウ,1900-01-01 00:00:00+09,t,女の子に襲われる,エロシーン,f,2993,t,f
83,83,126,夏ゲー,眩しい日差し、蝉の声、生い茂る緑、風鈴の音、海水浴、西瓜、花火…そんな日本人のノスタルジーを思いっきり掻き立てる「夏」を舞台にしたゲーム。だいたい基準はこんなかんじで。 Ａ：夏という要素をシナリオ、演出に非常に効果的に取り入れている。夏でなければこの作品は成立しない。 Ｂ：夏という要素をシナリオ、演出にそこそこ効果的に取り入れている。夏という要素を抜くと作品の魅力もやや減る。 Ｃ：季節が夏であるだけ。,tsuki,2003-12-21 01:25:09.21719+09,2003-05-09 17:07:41.381557+09,ナツゲー,1900-01-01 00:00:00+09,t,夏,背景,f,3601,t,f
84,84,127,愛を確かめ合う初々しいぇち,コンシューマでできない愛の形がエロゲにはあるべきだという考えに基づいたPOVです。 ABCに着いての評価は登録者に依りますが、C評価としてめちゃくちゃなエロや鬼畜やらを登録するのはこのPOVの趣旨に反していますので別のPOVでどうぞ。,gaogaogao改め烏賊悪魔,2003-12-25 21:57:52.744193+09,2003-05-10 00:32:51.058068+09,アイヲタシカメアウウイウイシイェチ,1900-01-01 00:00:00+09,t,初々しいH,エロシーン,f,5326,f,f
85,85,128,ゴールが一つだけのゲーム,マルチシナリオというのは、何度もプレイするのが面倒だとか、全体の統一を欠いてしまいがちなど多くの欠点を持っているものです。そこで、最終的なゴールが一つだけのゲームを集めてみたいと思い、このPOVを作りました。評価基準は A　エンディングが一つだけのゲーム。 B　細かい枝分かれはあるが基本的な筋は一本のゲーム。 C　エンディングは複数存在するが、一つのTrue Endのようなものが存在する。でお願いします。,energy,2003-12-16 02:41:55.942017+09,2003-05-11 05:35:14.277217+09,ゴールガヒトツダケノゲーム,1900-01-01 00:00:00+09,t,ゴールが一つだけ,シナリオ,f,6033,f,f
86,86,131,システムが斬新なゲーム,ゲームのシステムはどれも似たようなシステムを使っています（特にADVに顕著です）が、時折そんな一般的なもの以外に、斬新なシステムを採用しているゲームがあります。そんなシステムに独自性が見られるゲームをこのPOVに登録してください。,ujo,2003-12-23 17:46:33.18935+09,2003-05-22 13:33:24.824012+09,システムガザンシンナゲーム,1900-01-01 00:00:00+09,t,システムが斬新,ワンポイント,f,1871,f,f
87,87,132,クリア後、本編以外のお楽しみ,ゲームの本編とは別の、例えばクリア後のおまけやマニュアル等の商品付属物、さらにはファンディスク、アンソロジー本、小説、ドラマＣＤ、サントラ、アニメ作品等々の関連作品があるゲームの登録をお願いします。 　ＡＢＣ評価はおまかせしますが、その充実度や面白さが基準になるかなぁと思います。 　ＰＯＶの内容が内容ですので、コメントで何が良かったか詳しく書いて頂けるとありがたいです。,daitetu,2003-12-16 01:37:57.187947+09,2003-05-24 13:48:27.484221+09,クリアゴホンペンイガイノオタノシミ,2005-10-17 12:29:53.556475+09,t,本編以外のお楽しみ,ゲームの内容外,f,4528,f,f
88,88,133,オッパイ星人万歳なエロゲー,登場するヒロインの全員あるいは大多数が巨乳・爆乳ヒロイン尽くしな作品を登録してください。 ヒロインのバストがリアリティがなくたってそれも浪漫、巨乳好きでない人にはそれがわからんのです。 とにかくヒロインの乳いっぱいの世界さえ全開ならば条件は問いません。 ABC基準は巨乳要素満載の点での魅力度・お勧め度で投票お願いします。,S/O,2003-12-12 08:21:49.026508+09,2003-05-29 03:15:52.54866+09,オッパイセイジンバンザイナエロゲー,1900-01-01 00:00:00+09,t,おっぱい,女の子キャラクター,f,2477,t,f
89,89,134,魅力的なヒロインがいるゲーム,皆さんのお気に入りのヒロインとその理由を教えてください！,tatuya,2003-12-25 21:02:20.063578+09,2003-05-29 10:52:22.287112+09,ミリョクテキナヒロインガイルゲーム,1900-01-01 00:00:00+09,t,魅力的なヒロイン,女の子キャラクター,f,7588,f,f
90,90,135,埋もれている名作,埋もれている名作、あまり世間に知られてないけどこれはもっと評価されるべきだ！！と思うゲームを教えてください！,tatuya,2003-12-20 01:31:55.415549+09,2003-05-29 10:59:25.245196+09,ウモレテイルメイサク,1900-01-01 00:00:00+09,t,埋もれている名作,名作,f,5243,f,f
91,91,137,このキャラクターが不快（または単純に、ぶち壊し）,シナリオが良い作品、楽しめた作品のその影でひっそりと存在するどうしても気に入らない登場キャラクター。性格、言動、考え方など内容は問いませんのでどうにも受け容れられないキャラクターがいるなら投票とコメントをお願いします。 ABC基準はその嫌いなキャラクターが作品を楽しむ点でダメージを与える印象度でつけてください。,bondo2001,2003-12-21 00:53:59.47285+09,2003-05-30 21:25:10.690026+09,コノキャラクターガフカイ,1900-01-01 00:00:00+09,t,特定キャラ不快,ネガティブ,f,3735,f,f
92,92,139,誰だよ！このタイトル考えたの！,聞いた瞬間に食べているものを噴き出してしまいそうなタイトル、店で予約するときに 口に出すのが躊躇われるようなぶっ飛んだタイトルの作品。,people,2003-12-21 01:25:09.144614+09,2003-06-01 23:47:35.120344+09,ダレダヨコノタイトルカンガエタノ,1900-01-01 00:00:00+09,t,ぶっ飛んだタイトル,ワンポイント,f,1675,t,f
93,93,143,焼きもち万歳,ヒロインの「焼きもち」。可愛いですよね。 そこでヒロインの焼きもちが印象的な作品を登録してください。 ABC基準はそのヒロインの焼きもちの焼きっぷりが萌え転がるほどインパクトある度合いで投票をお願いします。,kachuyuki,2003-12-17 13:21:31.103577+09,2003-06-22 00:45:07.711114+09,ヤキモチバンザイ,1900-01-01 00:00:00+09,t,焼きもち,女の子キャラクター,f,3220,f,f
94,94,144,春ゲー,季節感溢れるゲームはその季節にプレイしたいもの。春を舞台にしたゲームを登録してください。 基準は Ａ：春という要素をシナリオ、演出に非常に効果的に取り入れている。春でなければこの作品は成立しない。 Ｂ：春という要素をシナリオ、演出にそこそこ効果的に取り入れている。春という要素を抜くと作品の魅力もやや減る。 Ｃ：季節が春であるだけ。 （「夏ゲー」の基準を使わせてもらいました）,corundum,2003-12-10 17:55:47.196446+09,2003-06-24 17:10:53.636771+09,ハルゲー,1900-01-01 00:00:00+09,t,春,背景,f,1225,t,f
95,95,145,秋ゲー,季節感溢れるゲームはその季節にプレイしたいもの。秋を舞台にしたゲームを登録してください。 基準は Ａ：秋という要素をシナリオ、演出に非常に効果的に取り入れている。秋でなければこの作品は成立しない。 Ｂ：秋という要素をシナリオ、演出にそこそこ効果的に取り入れている。秋という要素を抜くと作品の魅力もやや減る。 Ｃ：季節が秋であるだけ。 （「夏ゲー」の基準を使わせてもらいました）,corundum,2003-12-10 13:31:40.281637+09,2003-06-24 17:11:53.026094+09,アキゲー,1900-01-01 00:00:00+09,t,秋,背景,f,963,t,f
96,96,146,冬ゲー,季節感溢れるゲームはその季節にプレイしたいもの。冬を舞台にしたゲームを登録してください。 基準は Ａ：冬という要素をシナリオ、演出に非常に効果的に取り入れている。冬でなければこの作品は成立しない。 Ｂ：冬という要素をシナリオ、演出にそこそこ効果的に取り入れている。冬という要素を抜くと作品の魅力もやや減る。 Ｃ：季節が冬であるだけ。 （「夏ゲー」の基準を使わせてもらいました）,corundum,2003-12-25 23:49:57.722681+09,2003-06-24 17:12:49.349918+09,フユゲー,1900-01-01 00:00:00+09,t,冬,背景,f,3142,t,f
97,97,148,着衣・コスプレＨに見どころあり,制服、私服、コスプレ、ミミシッポ、巫女服、メイド服‥‥‥ とにかくＨシーンの場面にて着衣Ｈ（半脱ぎＨ）の点で一見の価値ありという作品を教えてください。 Ｈシーンの内容・衣装についての熱いコメントは熱烈歓迎です。,塩羊羹,2003-12-25 21:06:17.681344+09,2003-06-29 20:36:40.768963+09,チャクイコスプレエッチニミドコロアリ,2005-01-23 10:41:54.69031+09,t,着衣Ｈ,エロシーン,f,2749,t,f
98,98,150,リアルな近未来,名目上、「未来」だと行っているのに、携帯もなければインターネットも出てこない・・・ せいぜいキャラとしてロボットが出てくるぐらい・・ んなの未来じゃねぇ！パラレルワールドだ！ このPOVは「今に連続した未来」を書いている作品に捧げられる物であります。 基本的にAしかあり得ないと思うのですが、 「未来を銘打ってるのに、なんか違うぞ？」って言う作品にはCをあげてください。,spell,2003-12-10 14:21:30.678891+09,2003-07-05 09:48:12.83527+09,リアルナキンミライ,1900-01-01 00:00:00+09,t,近未来,ジャンル,f,1364,t,f
99,99,151,舞台が田舎,畦道を歩いて学校に通い、生徒はみんな顔見知り。秋には村で唯一の神社でお祭りがあり、言い伝えや風習も残っている。日本人の原風景、田舎を舞台にしたゲーム。,clowes,2003-12-18 04:03:48.584387+09,2003-07-06 14:01:41.883639+09,ブタイガイナカ,1900-01-01 00:00:00+09,t,田舎,背景,f,3564,t,f
100,100,152,「あまりにも」ご都合主義な展開,何から何まで揚げ足をとるつもりじゃないけれど、何かと甘々な設定でともすればご都合主義と感じたくなる作品の設定、展開やシチュエーション。 多少のご都合主義はお約束ということで目をつぶるにしても、でも正直これはどうしても納得できない、むしろシナリオの質を落としている、作品ぶち壊しと感じさせるほど目に余るご都合主義が横行しているのもまた確か。 ここではそんな「あまりにも目に余る」ご都合主義でどうしようもないくらいうんざりした、呆れたなどネガティブな印象がするくらい、ご都合主義に感じた作品を登録してください ABC基準はご都合主義ぶりが作品を大きく台無しにしていると感じる度合いで登録お願いします。,ujo,2003-12-26 01:21:59.663547+09,2003-07-08 20:28:43.88775+09,アマリニモゴツゴウシュギナテンカイ,1900-01-01 00:00:00+09,t,ご都合主義,ネガティブ,f,4512,f,f
101,101,155,作業プレイなゲーム,ゲームのプレイがほとんど終わらせる為の作業と化しているような、やっていて苦痛に感じるゲームをこのPOVに登録してください。,ujo,2003-12-16 07:49:30.65762+09,2003-07-16 15:02:10.96604+09,サギョウプレイナゲーム,1900-01-01 00:00:00+09,t,作業プレイ,ネガティブ,f,3100,f,f
102,102,156,悪役たる悪役,ゲームにはほとんどといっていいほど悪役が存在します。 「こいつ、やばいよ・・・」と思わせてくれるような冷徹非情な悪役が出てくるゲームの登録をお願いします。,ceil,2003-12-23 21:42:15.819388+09,2003-07-16 22:13:42.212819+09,アクヤクタルアクヤク,1900-01-01 00:00:00+09,t,悪役,キャラクター,t,5345,t,f
103,103,157,戦闘描写（シーン）が印象的,おおよそのエロゲーは日常の様々な舞台の中で印象的なシーンを多いですが、中には現代日本ではまず存在しない「戦い」の世界ならではで、その「戦い」の場面で様々なシーンが印象に残る作品もあるかと思います。 時代・次元・戦う相手や仲間同士のフィクション性は問いません。 とにかく「戦いの世界」やそのシーンを通じて感銘を与えてくれた作品をあげてください。,aoitori,2003-12-26 04:00:23.819124+09,2003-07-26 17:06:33.908319+09,セントウビョウシャガインショウテキ,1900-01-01 00:00:00+09,t,戦闘,傾向,f,4719,t,f
