,Unnamed: 0,index,id,gamename,furigana,sellday,brandname,median,stdev,creater,kansouurl,checked,hanbaisuu,average2,median2,count2,comike,shoukai,model,checked2,erogame,galge,elfics,banner_url,admin_checked,max2,min2,gyutto_enc,gyutto_id,dmm,dmm_genre,dmm_genre_2,erogametokuten,total_play_time_median,time_before_understanding_fun_median,dlsite_id,dlsite_domain,the_number_of_uid_which_input_pov,the_number_of_uid_which_input_play,total_pov_enrollment_of_a,total_pov_enrollment_of_b,total_pov_enrollment_of_c,trial_url,trial_h,http_response_code,okazu,axis_of_soft_or_hard,trial_url_update_time,genre,twitter,erogetrailers,tourokubi,digiket,dmm_sample_image_count,dlsite_sample_image_count,gyutto_sample_image_count,digiket_sample_image_count,twitter_search,tgfrontier,gamemeter,twitter_data_widget_id,twitter_data_widget_id_before,twitter_data_widget_id_official,masterup,masterup_tourokubi,steam,dlsite_rental,dmm_subsc,surugaya_1,surugaya_2,surugaya_1_back_image,surugaya_2_back_image,count_all,playrack,vndb,moepedia,笑,つじつまがあっている,感動,鬱,熱血,幼馴染,ツインテール,純愛,無表情
11,11,452,1989,シエスタ ～すすき野原の夢物語～,シエスタ,2002-04-12,662,67,14.0,,,t,,62,,5,12429.0,http://kur-mar-ter.product.co.jp/amedeo/product/siesta.html,PC,,f,,,,,75,40,,,,,,,,,,,2.0,4.0,16.0,13.0,0.0,,,200.0,,,0001-01-01 00:00:00,アドベンチャーゲーム,,0,,,-1,-1,-1,-1,,0,,,,,,,,f,,145006331,0,f,f,10,5442,v2812,0,0,0,3,0,0,0,0,3,0
12,12,634,2048,Apocripha/0 「プラチナ」ディスク,アポクリファゼロプラチナディスク,2001-08-10,669,70,,,,t,,70,,1,,,PC,,f,,,,,70,70,,,,,,,,,,,1.0,1.0,3.0,8.0,1.0,,,200.0,,,0001-01-01 00:00:00,,,0,,,-1,-1,-1,-1,,0,,,,,,,,f,,145005006,0,f,f,6,15651,v3508,0,0,0,0,0,0,0,0,0,0
13,13,735,2256,Lしたいね!,エルシタイネ,2002-08-08,722,72,,,,t,,72,,1,15404.0,http://www.unicorn-b.com/L_shitai/index.htm,PC,,f,GS00005602,,,,72,72,,3775.0,sysa_0011,digital,pcgame,,,,VJ002070,pro,0.0,1.0,0.0,0.0,0.0,,,200.0,,,0001-01-01 00:00:00,,,0,,,6,9,10,-1,,0,,,,,,,,f,,145006700,145015048,f,f,5,20471,v3613,0,0,0,0,0,0,0,0,0,0
14,14,742,2261,空の浮動産,ソラノフドウサン,2001-05-04,727,73,15.0,,,t,,69,,49,57181.0,https://www.anos.jp/anos2/anos2.htm,PC,,f,,,,,93,12,,,1305jss5001,mono,pcgame,,5.0,,VJ007727,soft,10.0,49.0,38.0,18.0,4.0,https://www.anos.jp/anos2/anos2.htm#tai,f,200.0,,,2018-12-16 17:14:17.398043,,,0,,,0,9,-1,-1,,0,,,,,,,,f,,145025823,145015896,f,f,66,13884,v12758,0,0,9,0,2,3,0,0,0,0
15,15,798,2262,あの､素晴らしい をもう一度,アノスバラシイヲモウイチド,2002-03-22,727,76,13.0,,,t,,75,,116,12103.0,https://www.anos.jp/anos1/anos1.htm,PC,,f,,,,,100,20,,,,,,,5.0,1.0,VJ004635,soft,24.0,120.0,149.0,39.0,13.0,https://www.anos.jp/anos1/anos1.htm#TAI,f,200.0,,,2012-04-18 20:17:32.844458,,,0,,,-1,8,-1,-1,,0,,,,,,,,f,,145025822,145023729,f,f,154,17161,v14815,0,0,29,6,1,0,0,0,0,0
16,16,812,2391,闘神都市II そして、それから…,トウシントシツーソシテソレカラ,1995-12-08,30,70,16.0,,,t,,64,,100,930.0,,PC,,f,,,,,98,25,,,,,,,3.0,,,,7.0,120.0,19.0,6.0,2.0,,,404.0,,,0001-01-01 00:00:00,,,0,,,-1,-1,-1,-1,,0,,,,,,,,f,,145000528,0,f,f,135,16296,v6916,0,0,0,0,0,3,3,0,0,0
17,17,879,2483,Pia♥キャロットへようこそ!!3 ヒロインズFunBox,ピアキャロットヘヨウコソサンヒロインズファンボックス,2002-12-20,859,45,19.0,,,t,,44,,17,19770.0,,PC,,f,,,,,75,10,,,,,,,,,,,2.0,15.0,11.0,1.0,5.0,,,,,,0001-01-01 00:00:00,,,0,,,-1,-1,-1,-1,,0,,,,,,,,f,,145008140,145043781,f,f,26,5558,v10248,0,0,0,0,0,0,0,0,0,0
18,18,863,2551,VAMPIRE HURTS,ヴァンパイアハーツ,2002-07-25,880,63,32.0,,,t,,63,,2,16494.0,http://www.exe-create.co.jp/products/vampire/v_index.htm,PC,,f,,,,,85,40,,,,,,,,,,,0.0,2.0,0.0,0.0,0.0,,,200.0,,,0001-01-01 00:00:00,アクション・RPG,,0,,,-1,-1,-1,-1,,0,,,,,,,,f,,0,0,f,f,4,4472,,0,0,0,0,0,0,0,0,0,0
19,19,3091,2574,AIR 全年齢対象版,エアーゼンネンレイタイショウバン,2001-07-27,83,85,13.0,,,t,,84,,207,7580.0,https://key.visualarts.gr.jp/product/air/,PC,,f,,,,,100,28,,,,,,,25.0,3.0,,,45.0,272.0,335.0,53.0,51.0,,,302.0,,,0001-01-01 00:00:00,恋愛アドベンチャー,,0,,,-1,-1,-1,-1,,0,,,,,,,,f,,145005102,145021892,f,f,307,20967,v36,0,5,2,68,15,0,0,3,21,3
20,20,1253,2713,Angel’s Feather,エンジェルズフェザー,2003-04-25,549,68,14.0,,,t,,67,,8,16351.0,,PC,,f,GS00008642,,,,82,45,,,,,,,,6.0,,,2.0,9.0,11.0,3.0,4.0,,,,,,0001-01-01 00:00:00,RPG,,0,,,-1,-1,-1,-1,,0,,,,,,,,f,,0,0,f,f,17,20167,v2510,0,0,0,0,0,3,0,0,0,0
