,index,id,brandname,brandfurigana,makername,makerfurigana,url,checked,kind,lost,directlink,median,http_response_code,twitter,twitter_data_widget_id,notes,erogetrailers,cien
370,789,406,エアフィールド,エアフィールド,,,,,CORPORATION,t,t,30.0,,,,,,
371,903,407,RISE,ライズ,,,,,CORPORATION,t,t,70.0,,,,,2561.0,
372,904,408,Bunny Pro.,バニープロ,株式会社　彩文館出版,サイブンカンシュッパン,,,CORPORATION,t,f,68.0,200.0,,,,,
373,281,409,静,シズ,,,,,CORPORATION,t,t,50.0,,,,,,
374,282,410,CORETT,コレット,,,,,CORPORATION,t,t,61.0,,,,,,
375,283,411,GLANZ,グランズ,,,,,CORPORATION,t,t,64.0,,,,,,
376,284,412,RaSeN,ラセン,株式会社ネクストン,ネクストン,,,CORPORATION,t,f,70.0,,,,,1182.0,
377,285,413,アトリエかぐや,アトリエカグヤ,,,http://www.a-kaguya.com/,,CORPORATION,f,t,73.0,200.0,,,,176.0,
378,286,414,JIN,ジン,株式会社　彩文館出版,サイブンカンシュッパン,https://www.saibunkan.co.jp/scramble/,,CORPORATION,t,t,75.0,200.0,,,,,
379,287,415,海月倶楽部,クラゲクラプ,,,,,CORPORATION,t,t,58.0,,,,,,
380,905,416,UCOM,ユーコム,,,,,CORPORATION,t,t,50.0,,,,,,
381,906,417,ベクター,ベクター,,,,,CORPORATION,t,t,40.0,,,,,,
382,1810,418,Cliff Edge,クリフエッジ,,,,,CORPORATION,t,f,70.0,,,,,,
383,1811,419,Candy Lip,キャンディリップ,,,,,CORPORATION,t,t,45.0,,,,,,
384,1812,420,フェアダンス,フェアダンス,,,,,CORPORATION,t,f,58.0,,,,,,
385,1813,421,SNOW,スノー,,,,,CORPORATION,t,t,58.0,,,,,,
386,1814,422,フォア・ナイン,フォアナイン,,,,,CORPORATION,t,t,74.0,,,,,,
387,1815,423,グリーンバニー,グリーンバニー,,,,,CORPORATION,t,t,63.0,,,,,,
388,907,424,悪美,アクビ,,,,,CORPORATION,t,t,40.0,,,,,,
389,908,425,Altair,アルタイル,,,,,CORPORATION,t,f,70.0,,,,,1540.0,
390,909,426,OUTGRID,アウトグリッド,,,,,CORPORATION,t,t,51.0,,,,,,
391,910,427,TAKE,タケ,,,,,CORPORATION,t,t,39.0,,,,,,
392,2092,428,シルキーズ,シルキーズ,株式会社エルフ,エルフ,,,CORPORATION,t,t,75.0,200.0,,,,280.0,
393,2093,429,Petit Pack,ペティットパック,,,,,CORPORATION,t,f,60.0,,,,,,
394,2094,430,七味とうがらし団,シチミトウガラシダン,,,,,CORPORATION,t,t,30.0,,,,,,
395,2095,431,Merty Lip,メルティーリップ,,,http://www.unicorn-a.com/,,CORPORATION,t,f,75.0,,unia_staff,,,,
396,2096,432,フェアリーダスト,フェアリーダスト,,,,,CORPORATION,t,t,68.0,,,,,977.0,
397,3008,433,AyPio(アーヴォリオ),アーヴォリオ,,,http://13cm.jp/13cm_wp/?page_id=112,,CORPORATION,t,f,65.0,200.0,visualantena,,,387.0,
398,3009,434,コアマガジン,コアマガジン,,,http://www.coremagazine.co.jp/,,CORPORATION,f,t,40.0,,coremaga_r18,,,,
399,3010,435,ヘリオス,ヘリオス,,,,,CORPORATION,t,t,60.0,,,,,,
400,3011,436,クリスタル映像,クリスタルエイゾウ,,,http://www.crystal-eizou.jp/,,CORPORATION,f,t,40.0,,cryzou,,,,
401,3012,437,電脳CLUB,デンノウクラブ,,,,,CORPORATION,t,t,55.0,200.0,,,,,
402,3013,438,メディアバンク,メディアバンク,,,https://www.mediabank.co.jp/,,CORPORATION,f,t,10.0,,,,,,
403,931,439,G’z,ジーズ,,,,,CORPORATION,t,f,59.0,,,,,,
404,932,440,Accept,アクセプト,,,,,CORPORATION,t,t,55.0,,,,,,
405,933,441,Spiral,スパイラル,,,,,CORPORATION,t,f,60.0,,,,,,
406,934,442,工画堂スタジオ,コウガドウスタジオ,,,https://www.kogado.com/sw/male/,,CORPORATION,f,f,80.0,200.0,KOGADO_STUDIO,430530164481474561,,51.0,
407,935,443,TOUCHABLE,タッチャブル,,,http://www.touchable.jp/,,CORPORATION,f,t,70.0,200.0,TOUCHABLE_sumi2,,,175.0,
408,936,444,UNCANNY!,アンキャニィ,有限会社バニラ,バニラ,,,CORPORATION,t,t,50.0,,,,,450.0,
409,2698,445,フロントホック,フロントホック,,,,,CORPORATION,t,t,,,,,,,
410,937,446,Studioなべ奉行,スタジオナベホウコウ,,,,,CORPORATION,t,t,60.0,,,,,,
411,2097,447,GAINAX,ガイナックス,,,http://www.gainax.co.jp/wp/,,CORPORATION,f,t,65.0,200.0,gainaxnet,,,,
412,2098,448,ALTERO,アルテロ,,,,,CORPORATION,t,t,10.0,,,,,,
413,938,449,DNA,ディーエヌエー,,,,,CORPORATION,t,t,50.0,,,,,,
414,963,450,コンプリーツ,コンプリーツ,,,http://www.complets.co.jp/,,CORPORATION,f,t,65.0,200.0,complets_staff,,,668.0,
