,index,id,uid,pov,game,rank,memo,tourokubi,sage,modified,id.1,gamename,furigana,sellday,brandname,median,stdev,creater,kansouurl,checked,hanbaisuu,average2,median2,count2,comike,shoukai,model,checked2,erogame,galge,elfics,banner_url,admin_checked,max2,min2,gyutto_enc,gyutto_id,dmm,dmm_genre,dmm_genre_2,erogametokuten,total_play_time_median,time_before_understanding_fun_median,dlsite_id,dlsite_domain,the_number_of_uid_which_input_pov,the_number_of_uid_which_input_play,total_pov_enrollment_of_a,total_pov_enrollment_of_b,total_pov_enrollment_of_c,trial_url,trial_h,http_response_code,okazu,axis_of_soft_or_hard,trial_url_update_time,genre,twitter,erogetrailers,tourokubi.1,digiket,dmm_sample_image_count,dlsite_sample_image_count,gyutto_sample_image_count,digiket_sample_image_count,twitter_search,tgfrontier,gamemeter,twitter_data_widget_id,twitter_data_widget_id_before,twitter_data_widget_id_official,masterup,masterup_tourokubi,steam,dlsite_rental,dmm_subsc,surugaya_1,surugaya_2,surugaya_1_back_image,surugaya_2_back_image,count_all,playrack,vndb,moepedia
0,2153,5435,智子,67,188,A,,2002-11-16 22:16:46.536976+09,f,2012-11-23 21:19:36.68073,188,Kanon 全年齢対象版,カノンゼンネンレイタイショウバン,2000-01-07,83,83,16.0,,,t,,80,,194,12064.0,https://key.visualarts.gr.jp/product/kanon/,PC,,f,,,,,100,0,,,,,,,20.0,1.0,,,47,236,230,70,66,,,302.0,,,0001-01-01 00:00:00,恋愛アドベンチャー,,0,,,-1,-1,-1,-1,,0,,,,,,,,f,,145003102,145021892,f,f,272,10414,v33,0
1,2155,6181,kaziki,67,188,B,,2002-12-07 20:58:46.573261+09,f,2012-11-23 21:19:36.68073,188,Kanon 全年齢対象版,カノンゼンネンレイタイショウバン,2000-01-07,83,83,16.0,,,t,,80,,194,12064.0,https://key.visualarts.gr.jp/product/kanon/,PC,,f,,,,,100,0,,,,,,,20.0,1.0,,,47,236,230,70,66,,,302.0,,,0001-01-01 00:00:00,恋愛アドベンチャー,,0,,,-1,-1,-1,-1,,0,,,,,,,,f,,145003102,145021892,f,f,272,10414,v33,0
2,2159,10734,evergreen,67,2574,A,言うまでもないでしょう。,2003-02-25 23:43:39.333031+09,f,2012-11-23 21:19:36.68073,2574,AIR 全年齢対象版,エアーゼンネンレイタイショウバン,2001-07-27,83,85,13.0,,,t,,84,,207,7580.0,https://key.visualarts.gr.jp/product/air/,PC,,f,,,,,100,28,,,,,,,25.0,3.0,,,45,272,335,53,51,,,302.0,,,0001-01-01 00:00:00,恋愛アドベンチャー,,0,,,-1,-1,-1,-1,,0,,,,,,,,f,,145005102,145021892,f,f,307,20967,v36,0
3,2167,16050,tukkun,67,1570,B,,2003-05-19 12:25:19.404458+09,f,2012-11-23 21:19:36.68073,1570,もっとLoveちゅ! ～恋愛CHU!FanDisk～,モットラブチュ,2001-08-31,114,65,14.0,,,t,,66,,40,7681.0,http://sagaplanets.product.co.jp/works/lovechu/fandisc.htm,PC,,f,GS00000191,,,,95,30,,,,,,,2.0,,,,2,43,2,2,0,,,200.0,,,0001-01-01 00:00:00,ヴィジュアルショートノベル,,3200,,,-1,-1,-1,-1,,0,,,,,,,,f,,145004987,0,f,f,64,4618,v5800,0
4,2172,20104,生ハム,67,188,A,アユのストーリーでは涙ぼろぼろでした,2003-07-19 22:35:56.491233+09,f,2012-11-23 21:19:36.68073,188,Kanon 全年齢対象版,カノンゼンネンレイタイショウバン,2000-01-07,83,83,16.0,,,t,,80,,194,12064.0,https://key.visualarts.gr.jp/product/kanon/,PC,,f,,,,,100,0,,,,,,,20.0,1.0,,,47,236,230,70,66,,,302.0,,,0001-01-01 00:00:00,恋愛アドベンチャー,,0,,,-1,-1,-1,-1,,0,,,,,,,,f,,145003102,145021892,f,f,272,10414,v33,0
5,3164,29214,corundum,67,188,A,,2003-10-29 11:12:40.337807+09,f,2012-11-23 21:19:36.68073,188,Kanon 全年齢対象版,カノンゼンネンレイタイショウバン,2000-01-07,83,83,16.0,,,t,,80,,194,12064.0,https://key.visualarts.gr.jp/product/kanon/,PC,,f,,,,,100,0,,,,,,,20.0,1.0,,,47,236,230,70,66,,,302.0,,,0001-01-01 00:00:00,恋愛アドベンチャー,,0,,,-1,-1,-1,-1,,0,,,,,,,,f,,145003102,145021892,f,f,272,10414,v33,0
6,2217,49280,禁愚芸那,67,188,A,,2004-03-09 21:32:23.006259+09,f,2012-11-23 21:19:36.68073,188,Kanon 全年齢対象版,カノンゼンネンレイタイショウバン,2000-01-07,83,83,16.0,,,t,,80,,194,12064.0,https://key.visualarts.gr.jp/product/kanon/,PC,,f,,,,,100,0,,,,,,,20.0,1.0,,,47,236,230,70,66,,,302.0,,,0001-01-01 00:00:00,恋愛アドベンチャー,,0,,,-1,-1,-1,-1,,0,,,,,,,,f,,145003102,145021892,f,f,272,10414,v33,0
7,2212,55385,セルシウス,67,188,A,特にあゆシナリオは最高です　感動の嵐！,2004-04-03 03:48:56.533453+09,f,2012-11-23 21:19:36.68073,188,Kanon 全年齢対象版,カノンゼンネンレイタイショウバン,2000-01-07,83,83,16.0,,,t,,80,,194,12064.0,https://key.visualarts.gr.jp/product/kanon/,PC,,f,,,,,100,0,,,,,,,20.0,1.0,,,47,236,230,70,66,,,302.0,,,0001-01-01 00:00:00,恋愛アドベンチャー,,0,,,-1,-1,-1,-1,,0,,,,,,,,f,,145003102,145021892,f,f,272,10414,v33,0
8,2191,55881,Rosepink,67,3374,A,グランドエンドは穏やかで暖かな感動に包まれました。,2004-04-05 22:21:57.885384+09,f,2012-11-23 21:19:36.68073,3374,シンフォニック=レイン,シンフォニックレイン,2004-03-26,442,89,11.0,,,t,,87,,588,44021.0,https://www.kogado.com/sw/contents/kuroneko/sr/,PC,,f,,,,,100,20,,,,,,,25.0,5.0,VJ011519,soft,173,634,1286,279,86,,,200.0,,,0001-01-01 00:00:00,ミュージックアドベンチャー,,2983,,,-1,12,-1,-1,,0,,,,,,,629650.0,f,,145010497,145010897,f,f,755,16225,v38,0
9,2233,57833,wen,67,3374,A,途中までかなり鬱泣、でも最後には悲し涙が嬉し涙に変わっていました,2004-04-22 19:00:13.609553+09,f,2012-11-23 21:19:36.68073,3374,シンフォニック=レイン,シンフォニックレイン,2004-03-26,442,89,11.0,,,t,,87,,588,44021.0,https://www.kogado.com/sw/contents/kuroneko/sr/,PC,,f,,,,,100,20,,,,,,,25.0,5.0,VJ011519,soft,173,634,1286,279,86,,,200.0,,,0001-01-01 00:00:00,ミュージックアドベンチャー,,2983,,,-1,12,-1,-1,,0,,,,,,,629650.0,f,,145010497,145010897,f,f,755,16225,v38,0
