,index,id,uid,pov,game,rank,memo,tourokubi,sage,modified,id.1,gamename,furigana,sellday,brandname,median,stdev,creater,kansouurl,checked,hanbaisuu,average2,median2,count2,comike,shoukai,model,checked2,erogame,galge,elfics,banner_url,admin_checked,max2,min2,gyutto_enc,gyutto_id,dmm,dmm_genre,dmm_genre_2,erogametokuten,total_play_time_median,time_before_understanding_fun_median,dlsite_id,dlsite_domain,the_number_of_uid_which_input_pov,the_number_of_uid_which_input_play,total_pov_enrollment_of_a,total_pov_enrollment_of_b,total_pov_enrollment_of_c,trial_url,trial_h,http_response_code,okazu,axis_of_soft_or_hard,trial_url_update_time,genre,twitter,erogetrailers,tourokubi.1,digiket,dmm_sample_image_count,dlsite_sample_image_count,gyutto_sample_image_count,digiket_sample_image_count,twitter_search,tgfrontier,gamemeter,twitter_data_widget_id,twitter_data_widget_id_before,twitter_data_widget_id_official,masterup,masterup_tourokubi,steam,dlsite_rental,dmm_subsc,surugaya_1,surugaya_2,surugaya_1_back_image,surugaya_2_back_image,count_all,playrack,vndb,moepedia
0,1247,26110,ぶりぶりざえもん,48,2261,A,合っています,2003-09-25 06:30:19.197301+09,f,2012-11-23 21:19:36.68073,2261,空の浮動産,ソラノフドウサン,2001-05-04,727,73,15.0,,,t,,69,,49,57181.0,https://www.anos.jp/anos2/anos2.htm,PC,,f,,,,,93,12,,,1305jss5001,mono,pcgame,,5.0,,VJ007727,soft,10,49,38,18,4,https://www.anos.jp/anos2/anos2.htm#tai,f,200.0,,,2018-12-16 17:14:17.398043,,,0,,,0,9,-1,-1,,0,,,,,,,,f,,145025823,145015896,f,f,66,13884,v12758,0
1,1243,26353,ぶりぶりざえもん,48,2262,A,伏線の張り方と、その収め方は「良い仕事をしてますね」と云った感じです,2003-09-27 08:21:44.057172+09,f,2012-11-23 21:19:36.68073,2262,あの､素晴らしい をもう一度,アノスバラシイヲモウイチド,2002-03-22,727,76,13.0,,,t,,75,,116,12103.0,https://www.anos.jp/anos1/anos1.htm,PC,,f,,,,,100,20,,,,,,,5.0,1.0,VJ004635,soft,24,120,149,39,13,https://www.anos.jp/anos1/anos1.htm#TAI,f,200.0,,,2012-04-18 20:17:32.844458,,,0,,,-1,8,-1,-1,,0,,,,,,,,f,,145025822,145023729,f,f,154,17161,v14815,0
2,1248,41852,mizukielf,48,2262,B,だいたいあってる,2004-02-04 21:58:12.805777+09,f,2012-11-23 21:19:36.68073,2262,あの､素晴らしい をもう一度,アノスバラシイヲモウイチド,2002-03-22,727,76,13.0,,,t,,75,,116,12103.0,https://www.anos.jp/anos1/anos1.htm,PC,,f,,,,,100,20,,,,,,,5.0,1.0,VJ004635,soft,24,120,149,39,13,https://www.anos.jp/anos1/anos1.htm#TAI,f,200.0,,,2012-04-18 20:17:32.844458,,,0,,,-1,8,-1,-1,,0,,,,,,,,f,,145025822,145023729,f,f,154,17161,v14815,0
3,1253,59765,ysk,48,3454,A,これだけのテキスト量でつじつまが合っているのには、正直脱帽です。待たされた甲斐がありました。,2004-05-04 14:41:14.137664+09,f,2012-11-23 21:19:36.68073,3454,CLANNAD,クラナド,2004-04-28,83,90,15.0,,,t,,87,,3080,681794.0,https://key.visualarts.gr.jp/product/clannad/,PC,,f,GS00003905,,,,100,0,,,1041ksla0030,mono,pcgame,,50.0,3.0,,,840,3356,8332,938,275,,,200.0,,,0001-01-01 00:00:00,恋愛アドベンチャー,,2283,,,0,-1,-1,-1,,0,,,,,,,324160.0,f,,145011027,145024015,f,f,3681,17818,v4,0
4,1265,60648,gouyoku,48,3454,A,シナリオ全体のつじつまでなくフラグ処理のつじつまが素晴らしいです。よくぞここまでと思えるほど選択肢に対する細かな変化まで調整が取れています。,2004-05-09 00:56:26.693756+09,f,2012-11-23 21:19:36.68073,3454,CLANNAD,クラナド,2004-04-28,83,90,15.0,,,t,,87,,3080,681794.0,https://key.visualarts.gr.jp/product/clannad/,PC,,f,GS00003905,,,,100,0,,,1041ksla0030,mono,pcgame,,50.0,3.0,,,840,3356,8332,938,275,,,200.0,,,0001-01-01 00:00:00,恋愛アドベンチャー,,2283,,,0,-1,-1,-1,,0,,,,,,,324160.0,f,,145011027,145024015,f,f,3681,17818,v4,0
5,1256,62746,b_virgin1,48,3454,A,,2004-05-20 01:57:30.297817+09,f,2012-11-23 21:19:36.68073,3454,CLANNAD,クラナド,2004-04-28,83,90,15.0,,,t,,87,,3080,681794.0,https://key.visualarts.gr.jp/product/clannad/,PC,,f,GS00003905,,,,100,0,,,1041ksla0030,mono,pcgame,,50.0,3.0,,,840,3356,8332,938,275,,,200.0,,,0001-01-01 00:00:00,恋愛アドベンチャー,,2283,,,0,-1,-1,-1,,0,,,,,,,324160.0,f,,145011027,145024015,f,f,3681,17818,v4,0
6,1255,62818,Cercafern,48,3374,A,予想が出来るけど、確信が持てない、持ちたくない、うまい見せ方だと思います。,2004-05-20 07:14:39.641467+09,f,2012-11-23 21:19:36.68073,3374,シンフォニック=レイン,シンフォニックレイン,2004-03-26,442,89,11.0,,,t,,87,,588,44021.0,https://www.kogado.com/sw/contents/kuroneko/sr/,PC,,f,,,,,100,20,,,,,,,25.0,5.0,VJ011519,soft,173,634,1286,279,86,,,200.0,,,0001-01-01 00:00:00,ミュージックアドベンチャー,,2983,,,-1,12,-1,-1,,0,,,,,,,629650.0,f,,145010497,145010897,f,f,755,16225,v38,0
7,1242,63843,wizardsbrain,48,3454,A,現実を見据えつつ、整合性を取ろうとする姿勢は好感持てます。,2004-05-25 17:57:29.943719+09,f,2012-11-23 21:19:36.68073,3454,CLANNAD,クラナド,2004-04-28,83,90,15.0,,,t,,87,,3080,681794.0,https://key.visualarts.gr.jp/product/clannad/,PC,,f,GS00003905,,,,100,0,,,1041ksla0030,mono,pcgame,,50.0,3.0,,,840,3356,8332,938,275,,,200.0,,,0001-01-01 00:00:00,恋愛アドベンチャー,,2283,,,0,-1,-1,-1,,0,,,,,,,324160.0,f,,145011027,145024015,f,f,3681,17818,v4,0
8,1260,79010,arb7,48,3454,A,,2004-08-27 09:49:04.021082+09,f,2012-11-23 21:19:36.68073,3454,CLANNAD,クラナド,2004-04-28,83,90,15.0,,,t,,87,,3080,681794.0,https://key.visualarts.gr.jp/product/clannad/,PC,,f,GS00003905,,,,100,0,,,1041ksla0030,mono,pcgame,,50.0,3.0,,,840,3356,8332,938,275,,,200.0,,,0001-01-01 00:00:00,恋愛アドベンチャー,,2283,,,0,-1,-1,-1,,0,,,,,,,324160.0,f,,145011027,145024015,f,f,3681,17818,v4,0
9,1261,85718,Kyesee,48,3374,A,お見事。完全にやられました。,2004-09-28 04:00:04.293131+09,f,2012-11-23 21:19:36.68073,3374,シンフォニック=レイン,シンフォニックレイン,2004-03-26,442,89,11.0,,,t,,87,,588,44021.0,https://www.kogado.com/sw/contents/kuroneko/sr/,PC,,f,,,,,100,20,,,,,,,25.0,5.0,VJ011519,soft,173,634,1286,279,86,,,200.0,,,0001-01-01 00:00:00,ミュージックアドベンチャー,,2983,,,-1,12,-1,-1,,0,,,,,,,629650.0,f,,145010497,145010897,f,f,755,16225,v38,0
