,index,id,uid,pov,game,rank,memo,tourokubi,sage,modified,id.1,gamename,furigana,sellday,brandname,median,stdev,creater,kansouurl,checked,hanbaisuu,average2,median2,count2,comike,shoukai,model,checked2,erogame,galge,elfics,banner_url,admin_checked,max2,min2,gyutto_enc,gyutto_id,dmm,dmm_genre,dmm_genre_2,erogametokuten,total_play_time_median,time_before_understanding_fun_median,dlsite_id,dlsite_domain,the_number_of_uid_which_input_pov,the_number_of_uid_which_input_play,total_pov_enrollment_of_a,total_pov_enrollment_of_b,total_pov_enrollment_of_c,trial_url,trial_h,http_response_code,okazu,axis_of_soft_or_hard,trial_url_update_time,genre,twitter,erogetrailers,tourokubi.1,digiket,dmm_sample_image_count,dlsite_sample_image_count,gyutto_sample_image_count,digiket_sample_image_count,twitter_search,tgfrontier,gamemeter,twitter_data_widget_id,twitter_data_widget_id_before,twitter_data_widget_id_official,masterup,masterup_tourokubi,steam,dlsite_rental,dmm_subsc,surugaya_1,surugaya_2,surugaya_1_back_image,surugaya_2_back_image,count_all,playrack,vndb,moepedia
0,247,62745,b_virgin1,240,3454,B,,2004-05-20 01:57:30.28956+09,f,2012-11-23 21:19:36.68073,3454,CLANNAD,クラナド,2004-04-28,83,90,15.0,,,t,,87,,3080,681794.0,https://key.visualarts.gr.jp/product/clannad/,PC,,f,GS00003905,,,,100,0,,,1041ksla0030,mono,pcgame,,50.0,3.0,,,840,3356,8332,938,275,,,200.0,,,0001-01-01 00:00:00,恋愛アドベンチャー,,2283,,,0,-1,-1,-1,,0,,,,,,,324160.0,f,,145011027,145024015,f,f,3681,17818,v4,0
1,243,63842,wizardsbrain,240,3454,A,もう、言うまでもありませんね。,2004-05-25 17:57:29.935854+09,f,2012-11-23 21:19:36.68073,3454,CLANNAD,クラナド,2004-04-28,83,90,15.0,,,t,,87,,3080,681794.0,https://key.visualarts.gr.jp/product/clannad/,PC,,f,GS00003905,,,,100,0,,,1041ksla0030,mono,pcgame,,50.0,3.0,,,840,3356,8332,938,275,,,200.0,,,0001-01-01 00:00:00,恋愛アドベンチャー,,2283,,,0,-1,-1,-1,,0,,,,,,,324160.0,f,,145011027,145024015,f,f,3681,17818,v4,0
2,241,63949,gouyoku,240,3454,B,,2004-05-26 01:39:31.030968+09,f,2012-11-23 21:19:36.68073,3454,CLANNAD,クラナド,2004-04-28,83,90,15.0,,,t,,87,,3080,681794.0,https://key.visualarts.gr.jp/product/clannad/,PC,,f,GS00003905,,,,100,0,,,1041ksla0030,mono,pcgame,,50.0,3.0,,,840,3356,8332,938,275,,,200.0,,,0001-01-01 00:00:00,恋愛アドベンチャー,,2283,,,0,-1,-1,-1,,0,,,,,,,324160.0,f,,145011027,145024015,f,f,3681,17818,v4,0
3,246,68752,gaogaogao改め烏賊悪魔,240,3454,A,芽衣たん……最高,2004-07-05 19:07:46.928322+09,f,2012-11-23 21:19:36.68073,3454,CLANNAD,クラナド,2004-04-28,83,90,15.0,,,t,,87,,3080,681794.0,https://key.visualarts.gr.jp/product/clannad/,PC,,f,GS00003905,,,,100,0,,,1041ksla0030,mono,pcgame,,50.0,3.0,,,840,3356,8332,938,275,,,200.0,,,0001-01-01 00:00:00,恋愛アドベンチャー,,2283,,,0,-1,-1,-1,,0,,,,,,,324160.0,f,,145011027,145024015,f,f,3681,17818,v4,0
4,253,132995,prune,240,5432,A,ツナサラ！＞＜ｂ,2005-05-24 20:57:30.133359+09,f,2012-11-23 21:19:36.68073,5432,Ever17 -the out of infinity-,エバーセブンティーンジアウトオブインフィニティ,2002-08-29,619,91,12.0,,,t,,89,,440,,,PS2,t,f,,,,,100,10,,,,,,,30.0,8.0,,,105,467,1055,174,70,,,200.0,,,0001-01-01 00:00:00,恋愛アドベンチャー,,8657,,,-1,-1,-1,-1,,0,,,,,,,,f,,144000714,144005033,f,f,538,0,v17,0
5,251,132996,prune,240,5124,A,,2005-05-24 20:57:30.193362+09,f,2012-11-23 21:19:36.68073,5124,Ever17 -the out of infinity- Premium Edition,エバーセブンティーン,2003-05-16,619,90,12.0,,,t,,87,,1492,573225.0,,PC,f,f,,,,,100,0,,,,,,,30.0,10.0,,,411,1615,3510,597,176,,f,200.0,,,2016-04-10 22:36:10.155091,恋愛アドベンチャー,,8657,,,-1,-1,-1,-1,,0,,,,,,,,f,,145009552,145017869,f,f,1822,24812,v17,0
6,252,132998,prune,240,3454,B,,2005-05-24 20:57:30.216252+09,f,2012-11-23 21:19:36.68073,3454,CLANNAD,クラナド,2004-04-28,83,90,15.0,,,t,,87,,3080,681794.0,https://key.visualarts.gr.jp/product/clannad/,PC,,f,GS00003905,,,,100,0,,,1041ksla0030,mono,pcgame,,50.0,3.0,,,840,3356,8332,938,275,,,200.0,,,0001-01-01 00:00:00,恋愛アドベンチャー,,2283,,,0,-1,-1,-1,,0,,,,,,,324160.0,f,,145011027,145024015,f,f,3681,17818,v4,0
7,254,132999,prune,240,5715,A,アリス！＞＜ｂ,2005-05-24 20:57:30.23066+09,f,2012-11-23 21:19:36.68073,5715,水月 ～迷心～,スイゲツマヨイゴコロ,2004-10-28,619,81,14.0,,,t,,80,,48,,,PS2,t,f,,,,,100,41,,,,,,,,,,,10,58,130,16,5,,,200.0,,,0001-01-01 00:00:00,アドベンチャー,,2330,,,-1,-1,-1,-1,,0,,,,,,,,f,,144002212,144003939,f,f,73,0,v913,0
8,249,136249,right,240,5735,A,,2005-06-03 22:35:34.93011+09,f,2012-11-23 21:19:36.68073,5735,D.C.P.S. ～ダ・カーポ～ プラスシチュエーション,ダカーポプラスシチュエーション,2003-10-30,789,78,13.0,,,t,,76,,144,,https://circus-co.jp/product/dcps/index.html,PS2,t,f,,,,,100,10,,,,,,,50.0,,,,24,184,159,40,11,,,200.0,,,0001-01-01 00:00:00,こそばゆい学園恋愛アドベンチャー,,0,,,-1,-1,-1,-1,,0,,,,,,,,f,,144001491,144004366,f,f,212,0,v264,0
9,250,138715,right,240,5777,A,,2005-06-13 21:39:49.549487+09,f,2012-11-23 21:19:36.68073,5777,モエかん ～萌えっ娘島へようこそ～,モエカンモエッコジマヘヨウコソ,2004-02-05,683,80,12.0,,,t,,78,,13,,,PS2,t,f,,,,,95,50,,,,,,,,,,,2,18,14,7,2,,,200.0,,,0001-01-01 00:00:00,恋愛アドベンチャー,,0,,,-1,-1,-1,-1,,0,,,,,,,,f,,144001645,144001623,f,f,23,0,v3139,0
