,index,id,uid,pov,game,rank,memo,tourokubi,sage,modified,id.1,gamename,furigana,sellday,brandname,median,stdev,creater,kansouurl,checked,hanbaisuu,average2,median2,count2,comike,shoukai,model,checked2,erogame,galge,elfics,banner_url,admin_checked,max2,min2,gyutto_enc,gyutto_id,dmm,dmm_genre,dmm_genre_2,erogametokuten,total_play_time_median,time_before_understanding_fun_median,dlsite_id,dlsite_domain,the_number_of_uid_which_input_pov,the_number_of_uid_which_input_play,total_pov_enrollment_of_a,total_pov_enrollment_of_b,total_pov_enrollment_of_c,trial_url,trial_h,http_response_code,okazu,axis_of_soft_or_hard,trial_url_update_time,genre,twitter,erogetrailers,tourokubi.1,digiket,dmm_sample_image_count,dlsite_sample_image_count,gyutto_sample_image_count,digiket_sample_image_count,twitter_search,tgfrontier,gamemeter,twitter_data_widget_id,twitter_data_widget_id_before,twitter_data_widget_id_official,masterup,masterup_tourokubi,steam,dlsite_rental,dmm_subsc,surugaya_1,surugaya_2,surugaya_1_back_image,surugaya_2_back_image,count_all,playrack,vndb,moepedia
0,3937,3291,azumi,57,2262,A,少しずつ明らかになっていく世界の全体像と人間関係。最初から最後まで一気にプレイしてしまったゲーム(旧　読ませるシナリオ),2002-09-25 23:02:48.051636+09,f,2012-11-23 21:19:36.68073,2262,あの､素晴らしい をもう一度,アノスバラシイヲモウイチド,2002-03-22,727,76,13.0,,,t,,75,,116,12103.0,https://www.anos.jp/anos1/anos1.htm,PC,,f,,,,,100,20,,,,,,,5.0,1.0,VJ004635,soft,24,120,149,39,13,https://www.anos.jp/anos1/anos1.htm#TAI,f,200.0,,,2012-04-18 20:17:32.844458,,,0,,,-1,8,-1,-1,,0,,,,,,,,f,,145025822,145023729,f,f,154,17161,v14815,0
1,3773,3806,karirin,57,171,B,,2002-10-14 19:04:42.416273+09,f,2012-11-23 21:19:36.68073,171,隠れ月,カクレヅキ,2000-03-24,351,72,12.0,,,t,,72,,14,1323.0,,PC,,f,GS00004141,,,,95,55,,,,,,,,,,,3,10,12,2,0,,f,200.0,f,,0001-01-01 00:00:00,,,8430,,,-1,-1,-1,-1,,0,,,,,,,,f,,145004050,0,f,f,22,1020,v3264,0
2,3765,10737,evergreen,57,2574,A,,2003-02-25 23:43:39.894111+09,f,2012-11-23 21:19:36.68073,2574,AIR 全年齢対象版,エアーゼンネンレイタイショウバン,2001-07-27,83,85,13.0,,,t,,84,,207,7580.0,https://key.visualarts.gr.jp/product/air/,PC,,f,,,,,100,28,,,,,,,25.0,3.0,,,45,272,335,53,51,,,302.0,,,0001-01-01 00:00:00,恋愛アドベンチャー,,0,,,-1,-1,-1,-1,,0,,,,,,,,f,,145005102,145021892,f,f,307,20967,v36,0
3,3771,16064,tukkun,57,1570,A,,2003-05-19 12:27:23.772619+09,f,2012-11-23 21:19:36.68073,1570,もっとLoveちゅ! ～恋愛CHU!FanDisk～,モットラブチュ,2001-08-31,114,65,14.0,,,t,,66,,40,7681.0,http://sagaplanets.product.co.jp/works/lovechu/fandisc.htm,PC,,f,GS00000191,,,,95,30,,,,,,,2.0,,,,2,43,2,2,0,,,200.0,,,0001-01-01 00:00:00,ヴィジュアルショートノベル,,3200,,,-1,-1,-1,-1,,0,,,,,,,,f,,145004987,0,f,f,64,4618,v5800,0
4,3798,26107,ぶりぶりざえもん,57,2261,B,目立ちませんが、なにげに良いです,2003-09-25 06:30:19.113936+09,f,2012-11-23 21:19:36.68073,2261,空の浮動産,ソラノフドウサン,2001-05-04,727,73,15.0,,,t,,69,,49,57181.0,https://www.anos.jp/anos2/anos2.htm,PC,,f,,,,,93,12,,,1305jss5001,mono,pcgame,,5.0,,VJ007727,soft,10,49,38,18,4,https://www.anos.jp/anos2/anos2.htm#tai,f,200.0,,,2018-12-16 17:14:17.398043,,,0,,,0,9,-1,-1,,0,,,,,,,,f,,145025823,145015896,f,f,66,13884,v12758,0
5,3811,33670,zx108,57,188,A,,2003-12-08 12:15:07.674292+09,f,2012-11-23 21:19:36.68073,188,Kanon 全年齢対象版,カノンゼンネンレイタイショウバン,2000-01-07,83,83,16.0,,,t,,80,,194,12064.0,https://key.visualarts.gr.jp/product/kanon/,PC,,f,,,,,100,0,,,,,,,20.0,1.0,,,47,236,230,70,66,,,302.0,,,0001-01-01 00:00:00,恋愛アドベンチャー,,0,,,-1,-1,-1,-1,,0,,,,,,,,f,,145003102,145021892,f,f,272,10414,v33,0
6,3841,49284,禁愚芸那,57,188,B,,2004-03-09 21:32:23.094939+09,f,2012-11-23 21:19:36.68073,188,Kanon 全年齢対象版,カノンゼンネンレイタイショウバン,2000-01-07,83,83,16.0,,,t,,80,,194,12064.0,https://key.visualarts.gr.jp/product/kanon/,PC,,f,,,,,100,0,,,,,,,20.0,1.0,,,47,236,230,70,66,,,302.0,,,0001-01-01 00:00:00,恋愛アドベンチャー,,0,,,-1,-1,-1,-1,,0,,,,,,,,f,,145003102,145021892,f,f,272,10414,v33,0
7,3871,59383,Rosepink,57,3454,A,多くの登場人物が、絡み合うように色々な形で色々なルートに関わってくる。それをひとつのシナリオとしてまとめ上げたスタッフに敬意。,2004-05-01 04:06:06.524627+09,f,2012-11-23 21:19:36.68073,3454,CLANNAD,クラナド,2004-04-28,83,90,15.0,,,t,,87,,3080,681794.0,https://key.visualarts.gr.jp/product/clannad/,PC,,f,GS00003905,,,,100,0,,,1041ksla0030,mono,pcgame,,50.0,3.0,,,840,3356,8332,938,275,,,200.0,,,0001-01-01 00:00:00,恋愛アドベンチャー,,2283,,,0,-1,-1,-1,,0,,,,,,,324160.0,f,,145011027,145024015,f,f,3680,17818,v4,0
8,3869,59466,weikath,57,3454,A,素晴らしい、の一言。,2004-05-02 01:15:45.147582+09,f,2012-11-23 21:19:36.68073,3454,CLANNAD,クラナド,2004-04-28,83,90,15.0,,,t,,87,,3080,681794.0,https://key.visualarts.gr.jp/product/clannad/,PC,,f,GS00003905,,,,100,0,,,1041ksla0030,mono,pcgame,,50.0,3.0,,,840,3356,8332,938,275,,,200.0,,,0001-01-01 00:00:00,恋愛アドベンチャー,,2283,,,0,-1,-1,-1,,0,,,,,,,324160.0,f,,145011027,145024015,f,f,3680,17818,v4,0
9,3845,59679,Cyca,57,3454,A,間違いない。,2004-05-03 04:54:03.729287+09,f,2012-11-23 21:19:36.68073,3454,CLANNAD,クラナド,2004-04-28,83,90,15.0,,,t,,87,,3080,681794.0,https://key.visualarts.gr.jp/product/clannad/,PC,,f,GS00003905,,,,100,0,,,1041ksla0030,mono,pcgame,,50.0,3.0,,,840,3356,8332,938,275,,,200.0,,,0001-01-01 00:00:00,恋愛アドベンチャー,,2283,,,0,-1,-1,-1,,0,,,,,,,324160.0,f,,145011027,145024015,f,f,3680,17818,v4,0
