,index,id,uid,pov,game,rank,memo,tourokubi,sage,modified,id.1,gamename,furigana,sellday,brandname,median,stdev,creater,kansouurl,checked,hanbaisuu,average2,median2,count2,comike,shoukai,model,checked2,erogame,galge,elfics,banner_url,admin_checked,max2,min2,gyutto_enc,gyutto_id,dmm,dmm_genre,dmm_genre_2,erogametokuten,total_play_time_median,time_before_understanding_fun_median,dlsite_id,dlsite_domain,the_number_of_uid_which_input_pov,the_number_of_uid_which_input_play,total_pov_enrollment_of_a,total_pov_enrollment_of_b,total_pov_enrollment_of_c,trial_url,trial_h,http_response_code,okazu,axis_of_soft_or_hard,trial_url_update_time,genre,twitter,erogetrailers,tourokubi.1,digiket,dmm_sample_image_count,dlsite_sample_image_count,gyutto_sample_image_count,digiket_sample_image_count,twitter_search,tgfrontier,gamemeter,twitter_data_widget_id,twitter_data_widget_id_before,twitter_data_widget_id_official,masterup,masterup_tourokubi,steam,dlsite_rental,dmm_subsc,surugaya_1,surugaya_2,surugaya_1_back_image,surugaya_2_back_image,count_all,playrack,vndb,moepedia
0,20,993738,dakuryu,510,7441,A,遠坂 凛,2009-11-24 01:12:35.596268+09,f,2012-11-23 21:19:36.68073,7441,Fate/stay night [Realta Nua],フェイトステイナイトレアルタヌア,2007-04-19,789,90,13.0,,,t,,87,,337,,https://www.kadokawagames.co.jp/game/fatevita/,PS2,t,f,,,,,100,5,,,,,,,60.0,3.0,,,88,405,1180,157,27,,,200.0,,,0001-01-01 00:00:00,伝奇活劇ビジュアルノベル,,4090,,,-1,-1,-1,-1,,0,,,,,,,,f,,144003522,144003777,f,f,487,0,v11,0
1,21,993739,dakuryu,510,7062,B,来ヶ谷 唯湖,2009-11-24 01:12:35.600299+09,f,2012-11-23 21:19:36.68073,7062,リトルバスターズ!,リトルバスターズ,2007-07-27,83,85,14.0,,,t,,83,,1688,453665.0,https://key.visualarts.gr.jp/product/little/,PC,t,f,GS00012321,,,,100,0,,,,,,,35.0,1.0,,,469,1924,5105,765,226,http://holyseal.net/cgi-bin/mlistview.cgi?prdcode=5568,f,200.0,,,0001-01-01 00:00:00,恋愛アドベンチャーゲーム,,2286,,,-1,-1,-1,-1,,0,,,,,,,635940.0,f,,145016062,145034884,f,f,2173,18655,v5,0
2,26,1021105,禁愚芸那,510,9868,A,六角葉月,2009-12-25 21:53:10.18709+09,f,2012-11-23 21:19:36.68073,9868,レッスルエンジェルス サバイバー2,レッスルエンジェルスサバイバーツー,2008-11-06,2543,78,12.0,,,t,,77,,6,,,PS2,t,f,,,,,95,60,,,,,,,,,,,1,6,24,5,5,,,503.0,,,0001-01-01 00:00:00,団体経営＆育成シミュレーション,,8340,,,-1,-1,-1,-1,,0,,,,,,,,f,,144004986,144004486,f,f,6,0,,0
3,24,1021532,shostako,510,9320,A,,2009-12-26 00:51:44.583467+09,f,2012-11-23 21:19:36.68073,9320,アルトネリコ2 世界に響く少女たちの創造詩(メタファリカ),アルトネリコツーセカイニヒビクショウジョタチノメタファリカ,2007-10-25,771,80,14.0,,,t,,78,,66,,http://www.salburg.com/lineup/index.htm,PS2,t,f,,,,,100,20,,,,,,,50.0,2.0,,,22,89,158,24,0,,,200.0,,,0001-01-01 00:00:00,ムスメ調合RPG,,0,,,-1,-1,-1,-1,,0,,,,,,,,f,,144004313,144004904,f,f,112,0,v2133,0
4,25,1027196,kraft,510,12397,A,先輩かっこいいです,2009-12-30 04:08:11.988206+09,f,2012-11-23 21:19:36.68073,12397,神曲奏界ポリフォニカ アフタースクール,シンキョクソウカイポリフォニカアフタースクール,2009-12-25,1325,74,14.0,,,t,,73,,38,,http://ocelot.product.co.jp/products/poli3/index.htm,PC,t,f,,,,,100,20,,50146.0,,,,,9.0,,VJ005278,pro,9,47,111,14,1,http://ocelot.product.co.jp/products/poli3/down.htm,f,200.0,,,2012-04-16 21:27:39.41173,キネティックノベル,,0,,,-1,8,0,-1,,0,,,,,,,,f,,145022297,145036290,f,f,63,11984,v2913,0
5,22,1035026,flyingcat,510,12397,A,,2010-01-03 23:12:49.161823+09,f,2012-11-23 21:19:36.68073,12397,神曲奏界ポリフォニカ アフタースクール,シンキョクソウカイポリフォニカアフタースクール,2009-12-25,1325,74,14.0,,,t,,73,,38,,http://ocelot.product.co.jp/products/poli3/index.htm,PC,t,f,,,,,100,20,,50146.0,,,,,9.0,,VJ005278,pro,9,47,111,14,1,http://ocelot.product.co.jp/products/poli3/down.htm,f,200.0,,,2012-04-16 21:27:39.41173,キネティックノベル,,0,,,-1,8,0,-1,,0,,,,,,,,f,,145022297,145036290,f,f,63,11984,v2913,0
6,27,1051430,redtint,510,10774,A,藤林杏,2010-01-24 14:07:42.808553+09,f,2012-11-23 21:19:36.68073,10774,CLANNAD,クラナド,2008-05-29,1866,90,14.0,,,t,,88,,187,,https://www.prot.co.jp/psp/clannad/index.html,PSP,t,f,,,,,100,0,,,,,,,50.0,5.0,,,44,234,440,119,48,,,200.0,,,0001-01-01 00:00:00,恋愛アドベンチャー,,0,,,-1,-1,-1,-1,,0,,,,,,,324160.0,f,,177000809,0,f,f,252,0,v4,0
7,28,1064776,redtint,510,13046,A,草壁美鈴・紅野澪,2010-02-14 00:39:00.073313+09,f,2012-11-23 21:19:36.68073,13046,11eyes CrossOver,イレブンアイズクロスオーバー,2010-01-28,2282,75,13.0,,,t,,74,,95,,https://game.mages.co.jp/y2010/page/3,PSP,t,f,,,,,100,20,,,,,,,32.0,3.0,,,16,120,217,79,20,,,200.0,,,0001-01-01 00:00:00,侵蝕世界学園伝綺ADV,,5201,,,-1,-1,-1,-1,,0,,,,,,,,f,,177001355,177001325,f,f,138,0,v729,0
8,31,1097826,redtint,510,10103,A,矢幡麗佳,2010-03-29 13:45:58.859097+09,f,2012-11-23 21:19:36.68073,10103,シークレットゲーム -KILLER QUEEN-,シークレットゲームキラークイーン,2008-08-21,1461,83,10.0,,,t,,82,,88,,https://www.yetigame.jp/secretgame_psp/index.html,PS2,t,f,,,,,100,35,,,,,,,20.0,1.0,,,34,100,201,40,8,,,200.0,,,0001-01-01 00:00:00,サスペンスアドベンチャー,,959,,,-1,-1,-1,-1,,0,,,,,,,,f,,144004834,144004591,f,f,125,0,v1099,0
9,32,1099758,kirin1,510,13046,A,,2010-03-31 14:14:44.755495+09,t,2012-11-23 21:19:36.68073,13046,11eyes CrossOver,イレブンアイズクロスオーバー,2010-01-28,2282,75,13.0,,,t,,74,,95,,https://game.mages.co.jp/y2010/page/3,PSP,t,f,,,,,100,20,,,,,,,32.0,3.0,,,16,120,217,79,20,,,200.0,,,0001-01-01 00:00:00,侵蝕世界学園伝綺ADV,,5201,,,-1,-1,-1,-1,,0,,,,,,,,f,,177001355,177001325,f,f,138,0,v729,0
