,index,id,uid,pov,game,rank,memo,tourokubi,sage,modified,id.1,gamename,furigana,sellday,brandname,median,stdev,creater,kansouurl,checked,hanbaisuu,average2,median2,count2,comike,shoukai,model,checked2,erogame,galge,elfics,banner_url,admin_checked,max2,min2,gyutto_enc,gyutto_id,dmm,dmm_genre,dmm_genre_2,erogametokuten,total_play_time_median,time_before_understanding_fun_median,dlsite_id,dlsite_domain,the_number_of_uid_which_input_pov,the_number_of_uid_which_input_play,total_pov_enrollment_of_a,total_pov_enrollment_of_b,total_pov_enrollment_of_c,trial_url,trial_h,http_response_code,okazu,axis_of_soft_or_hard,trial_url_update_time,genre,twitter,erogetrailers,tourokubi.1,digiket,dmm_sample_image_count,dlsite_sample_image_count,gyutto_sample_image_count,digiket_sample_image_count,twitter_search,tgfrontier,gamemeter,twitter_data_widget_id,twitter_data_widget_id_before,twitter_data_widget_id_official,masterup,masterup_tourokubi,steam,dlsite_rental,dmm_subsc,surugaya_1,surugaya_2,surugaya_1_back_image,surugaya_2_back_image,count_all,playrack,vndb,moepedia
0,648,80729,Neeth,3,3374,A,ピアニストな気分になれます。歌もいいから気分よく遊べる音ゲーです。,2004-09-03 15:38:14.838955+09,f,2012-11-23 21:19:36.68073,3374,シンフォニック=レイン,シンフォニックレイン,2004-03-26,442,89,11.0,,,t,,87,,588,44021.0,https://www.kogado.com/sw/contents/kuroneko/sr/,PC,,f,,,,,100,20,,,,,,,25.0,5.0,VJ011519,soft,173,634,1286,279,86,,,200.0,,,0001-01-01 00:00:00,ミュージックアドベンチャー,,2983,,,-1,12,-1,-1,,0,,,,,,,629650.0,f,,145010497,145010897,f,f,755,16225,v38,0
1,649,85360,gaogaogao改め烏賊悪魔,3,3374,B,なかなか音ゲーとして面白い。,2004-09-24 23:19:23.947485+09,f,2012-11-23 21:19:36.68073,3374,シンフォニック=レイン,シンフォニックレイン,2004-03-26,442,89,11.0,,,t,,87,,588,44021.0,https://www.kogado.com/sw/contents/kuroneko/sr/,PC,,f,,,,,100,20,,,,,,,25.0,5.0,VJ011519,soft,173,634,1286,279,86,,,200.0,,,0001-01-01 00:00:00,ミュージックアドベンチャー,,2983,,,-1,12,-1,-1,,0,,,,,,,629650.0,f,,145010497,145010897,f,f,755,16225,v38,0
2,674,93223,BooFER,3,3374,A,,2004-11-06 23:33:58.895176+09,f,2012-11-23 21:19:36.68073,3374,シンフォニック=レイン,シンフォニックレイン,2004-03-26,442,89,11.0,,,t,,87,,588,44021.0,https://www.kogado.com/sw/contents/kuroneko/sr/,PC,,f,,,,,100,20,,,,,,,25.0,5.0,VJ011519,soft,173,634,1286,279,86,,,200.0,,,0001-01-01 00:00:00,ミュージックアドベンチャー,,2983,,,-1,12,-1,-1,,0,,,,,,,629650.0,f,,145010497,145010897,f,f,755,16225,v38,0
3,661,109135,ringo,3,3374,A,音ゲー好きにはたまらない熱中度です。　新曲が出るたびに、本編そっちのけでフリープレイを・・・。,2005-02-02 11:11:03.213359+09,f,2012-11-23 21:19:36.68073,3374,シンフォニック=レイン,シンフォニックレイン,2004-03-26,442,89,11.0,,,t,,87,,588,44021.0,https://www.kogado.com/sw/contents/kuroneko/sr/,PC,,f,,,,,100,20,,,,,,,25.0,5.0,VJ011519,soft,173,634,1286,279,86,,,200.0,,,0001-01-01 00:00:00,ミュージックアドベンチャー,,2983,,,-1,12,-1,-1,,0,,,,,,,629650.0,f,,145010497,145010897,f,f,755,16225,v38,0
4,662,123337,seiunsky,3,5831,A,,2005-04-19 23:15:19.403666+09,f,2012-11-23 21:19:36.68073,5831,MELTY BLOOD メルティブラッド,メルティブラッド,2002-12-28,971,79,12.0,,,t,,76,,223,,http://www.typemoon.org/melt/,PC,t,f,,,,,100,0,,,,,,,250.0,1.0,,,21,298,156,16,9,,,200.0,,,0001-01-01 00:00:00,2D格闘アクション,,9979,,,-1,-1,-1,-1,,0,,,,,,,,f,,186035075,186002572,f,f,341,1429,,0
5,670,126972,seiunsky,3,5950,B,,2005-05-02 23:45:10.717081+09,f,2012-11-23 21:19:36.68073,5950,MELTY BLOOD Re・ACT,メルティブラッドリアクト,2004-05-30,971,80,9.0,,,t,,79,,184,,,PC,f,f,,,,,100,49,,,,,,,18.0,1.0,,,20,258,107,11,2,,,200.0,,,0001-01-01 00:00:00,2D格闘アクション,,0,,,-1,-1,-1,-1,,0,,,,,,,,f,,186004723,0,f,f,288,11319,,0
6,671,127035,Utusemi,3,3374,A,音ゲーだけあって演奏が最高です　ストーリーのほうも鬱なのについ読み進めたくなる,2005-05-03 03:07:06.18564+09,f,2012-11-23 21:19:36.68073,3374,シンフォニック=レイン,シンフォニックレイン,2004-03-26,442,89,11.0,,,t,,87,,588,44021.0,https://www.kogado.com/sw/contents/kuroneko/sr/,PC,,f,,,,,100,20,,,,,,,25.0,5.0,VJ011519,soft,173,634,1286,279,86,,,200.0,,,0001-01-01 00:00:00,ミュージックアドベンチャー,,2983,,,-1,12,-1,-1,,0,,,,,,,629650.0,f,,145010497,145010897,f,f,755,16225,v38,0
7,668,129247,REDREO,3,5005,B,ゲーム部分もよくできているが、簡素なので飽きは早いかも。,2005-05-10 10:52:38.436161+09,f,2012-11-23 21:19:36.68073,5005,蒼い空のネオスフィア,アオイソラノネオスフィア,2005-03-25,442,76,13.0,,,t,,75,,107,149521.0,https://www.kogado.com/html/kuma/neo/,PC,t,f,,,,,99,20,,100517.0,,,,,40.0,,VJ006744,soft,16,124,53,34,3,,,200.0,,,0001-01-01 00:00:00,街発展アドベンチャーゲーム,,2987,,,-1,9,8,-1,,0,,,,,,,,f,,145012719,145017030,f,f,155,17168,v1300,0
8,672,130848,daitetu,3,5950,A,,2005-05-16 11:59:23.383119+09,f,2012-11-23 21:19:36.68073,5950,MELTY BLOOD Re・ACT,メルティブラッドリアクト,2004-05-30,971,80,9.0,,,t,,79,,184,,,PC,f,f,,,,,100,49,,,,,,,18.0,1.0,,,20,258,107,11,2,,,200.0,,,0001-01-01 00:00:00,2D格闘アクション,,0,,,-1,-1,-1,-1,,0,,,,,,,,f,,186004723,0,f,f,288,11319,,0
9,634,131942,Angel smyle,3,5207,A,,2005-05-21 22:45:45.464334+09,f,2012-11-23 21:19:36.68073,5207,東方永夜抄 ～Imperishable Night.,トウホウエイヤショウ,2004-08-15,997,84,10.0,,,t,,82,,190,,http://www16.big.or.jp/%7Ezun/html/th08top.html,PC,f,f,,,,,100,50,,,,,,,45.0,,,,39,267,138,39,6,http://www16.big.or.jp/~zun/html/th08dl.html,f,200.0,,,2010-11-17 21:13:47.091056,,,0,,,-1,-1,-1,-1,,0,,,,,,,,f,,186014554,186006476,f,f,301,21230,,0
